Listings,Price,Room Type,Reviews,Location
"Garden Apt: Williamsburg, Brooklyn",155,Entire home/apt,14 reviews,"Williamsburg, Brooklyn"
Spacious Loft 5 min to Union Square,120,Private room,25 reviews,"Williamsburg, Brooklyn"
Lively loft in Prime Williamsburg!,110,Entire home/apt,2 reviews,"Williamsburg, Brooklyn"
Gorgeous private NYC 2 BD duplex,137,Entire home/apt,10 reviews,"Bedford-Stuyvesant, Brooklyn"
Brooklyn Prospect Park Cozy Single,90,Private room,96 reviews,"Prospect Heights, Brooklyn"
Huge bedroom in My Loft in New York,99,Private room,78 reviews,"Williamsburg, Brooklyn"
Brooklyn Brownstone w/Breakfast!,100,Entire home/apt,12 reviews,"Bedford-Stuyvesant, Brooklyn"
Gorgeous house Room 2 BEST location,92,Private room,86 reviews,"Park Slope, Brooklyn"
Lovely Brooklyn Heights Townhouse,150,Entire home/apt,69 reviews,"Brooklyn Heights, Brooklyn"
Sunny 1 or 2 BR apt in Boerum Hill,179,Entire home/apt,73 reviews,"Boerum Hill, Brooklyn"
House on 11th - Garden Level Apt.,165,Entire home/apt,102 reviews,"Gowanus, Brooklyn"
Colorful Room in Artsy BedStuy Home,40,Private room,O reviews,"Bedford-Stuyvesant, Brooklyn"
"BIG, sunny 1BD in bed-stuy",70,Private room,6 reviews,"Bedford-Stuyvesant, Brooklyn"
Colorful Garden Studio in Wburg,120,Entire home/apt,28 reviews,"Williamsburg, Brooklyn"
Park Slope Private Bed+Livingroom!,80,Private room,47 reviews,"Park Slope, Brooklyn"
Perfection in Prospect Heights,250,Entire home/apt,2 reviews,"Prospect Heights, Brooklyn"
Gorgeous Williamsburg 1 Bedroom Apt,225,Entire home/apt,166 reviews,"Williamsburg, Brooklyn"
Charming Brooklyn Garden House,275,Entire home/apt,26 reviews,"Park Slope, Brooklyn"
Great Williamsburg Apt with Balcony,69,Private room,12 reviews,"Williamsburg, Brooklyn"
Beautiful  Room in Williamsburg PH!,91,Private room,1 review,"Williamsburg, Brooklyn"
1BD in Modern Deco Williamsburg,85,Private room,6 reviews,"Williamsburg, Brooklyn"
2 Bedroom Apartment,180,Entire home/apt,112 reviews,"Fort Greene, Brooklyn"
Private room in artsy apt,70,Private room,21 reviews,"Bedford-Stuyvesant, Brooklyn"
Amazing 1Br in Prime Williamsburg,145,Entire home/apt,2 reviews,"Williamsburg, Brooklyn"
Spacious Sunny Park Slope Penthouse,200,Entire home/apt,8 reviews,"Park Slope, Brooklyn"
Spacious Flat in Williamsburg,175,Entire home/apt,18 reviews,"Williamsburg, Brooklyn"
"Beautiful, Modern 2BR, Park Slope",140,Entire home/apt,17 reviews,"Park Slope, Brooklyn"
Private Room in Beautiful Brooklyn,65,Private room,23 reviews,"Flatbush, Brooklyn"
Quiet classic charmer in the trees,190,Entire home/apt,16 reviews,"Park Slope, Brooklyn"
"Budget Luxury, w/ Manhattan Views!",89,Private room,50 reviews,"Williamsburg, Brooklyn"
Private Bedroom,59,Private room,10 reviews,"Bushwick, Brooklyn"
9 A Private Room Lux Loft,100,Private room,12 reviews,"Williamsburg, Brooklyn"
New Listing!  Terrific Price.,50,Private room,11 reviews,"Williamsburg, Brooklyn"
Williamsburg Penthouse For A Cause,100,Private room,125 reviews,"Williamsburg, Brooklyn"
Newest Building in Williamsburg #2,102,Private room,10 reviews,"Williamsburg, Brooklyn"
Spacious 2 BR apartment in Bed-Stuy,149,Entire home/apt,13 reviews,"Bedford-Stuyvesant, Brooklyn"
Calm and Cozy in Brooklyn,36,Private room,7 reviews,"Bedford-Stuyvesant, Brooklyn"
"Sunlit, spacious Bushwick studio",110,Entire home/apt,10 reviews,"Bushwick, Brooklyn"
SUNNY BIG ROOM IN STYLISH APT,80,Private room,19 reviews,"Bedford-Stuyvesant, New York"
The Institute—Heart of Williamsburg,250,Entire home/apt,110 reviews,"Williamsburg, Brooklyn"
Comfy room in beautiful apartment,65,Private room,16 reviews,"Bushwick, Brooklyn"
Beautiful Cozy One Bedroom in Dumbo,150,Entire home/apt,7 reviews,"DUMBO, Brooklyn"
Private Bdrm in Shared 2 Bdrm Apt,100,Private room,1 review,"Boerum Hill, Brooklyn"
Cozy 1 Bedroom in Clinton Hill,120,Entire home/apt,32 reviews,"Clinton Hill, Brooklyn"
Private room off L train,65,Private room,4 reviews,"Williamsburg, Brooklyn"
"Comfortable, Lovely Room on L Train",48,Private room,16 reviews,"Bushwick, Brooklyn"
Private Bedroom with private bath#1,60,Private room,13 reviews,"Bushwick, Brooklyn"
Charming and Cozy 1 Bedroom,145,Entire home/apt,8 reviews,"Carroll Gardens, Brooklyn"
Brooklyn Prospect Park Sunny Dormer,125,Private room,63 reviews,"Fort Greene, Brooklyn"
Cozy Place in Park Slope,85,Private room,18 reviews,"Park Slope, Brooklyn"
Your Perfect Bburg 1BR—Convenient!,99,Entire home/apt,5 reviews,"Williamsburg, Brooklyn"
*** BEST APT EVER!!-AVAILABLE NOW!,103,Private room,31 reviews,"Williamsburg, Brooklyn"
Sunny Room in the heart of W'burg,65,Private room,27 reviews,"Williamsburg, Brooklyn"
Williamsburg Luxury—Steps To Subway,85,Private room,166 reviews,"Williamsburg, Brooklyn"
Best Bedroom with Private Bathroom,99,Private room,24 reviews,"Williamsburg, Brooklyn"
Spacious Bedroom in Williamsburg,65,Private room,O reviews,"Williamsburg, Brooklyn"
Modern Sunny 1 Bed Steps to Train,100,Entire home/apt,2 reviews,"Fort Greene, Brooklyn"
Studio Perfection in Williamsburg,155,Entire home/apt,O reviews,"Williamsburg, Brooklyn"
COMFY ROOM #3 ~ AMAZING LOCATION!,79,Private room,75 reviews,"Williamsburg, Brooklyn"
The Real Cool Large Private Deal,195,Entire home/apt,92 reviews,"Williamsburg, Brooklyn"
Beautiful 1BR apt in trendy Bklyn,125,Entire home/apt,1 review,"Park Slope, Brooklyn"
ingefära hus! Williamsburg Center,80,Private room,87 reviews,"Williamsburg, Brooklyn"
"Minutes from Manhattan, Big Room!",50,Private room,5 reviews,"Lefferts Garden, Brooklyn"
Quiet apartment in lovely area,100,Entire home/apt,45 reviews,"Boerum Hill, Brooklyn"
Tree lined block modern apartment,175,Entire home/apt,52 reviews,"Bedford-Stuyvesant, Brooklyn"
Williamsburg Artist Loft,80,Private room,10 reviews,"Williamsburg, Brooklyn"
Brooklyn Garden Apartment!,99,Private room,21 reviews,"Boerum Hill, Brooklyn"
Perfect Williamsburg Location,160,Entire home/apt,O reviews,"Williamsburg, Brooklyn"
Cozy Room in Williamsburg Loft Apt,84,Private room,12 reviews,"Williamsburg, Brooklyn"
Williamsburg Waterfront Loft Apt,200,Entire home/apt,4 reviews,"Williamsburg, Brooklyn"
Gorgeous Williamsburg 1 Bedroom Apt,225,Entire home/apt,166 reviews,"Williamsburg, Brooklyn"
Bright & Happy Room on L Train,49,Private room,13 reviews,"Bushwick, Brooklyn"
Modern Loft Apt in Williamsburg,249,Entire home/apt,34 reviews,"Williamsburg, Brooklyn"
Spacious & Cozy Private Room!,55,Private room,5 reviews,"Sunset Park, Brooklyn"
Prime Park Slope Quiet BR w Kitchen,100,Entire home/apt,57 reviews,"Park Slope, Brooklyn"
Gorgeous duplex 1 BR Brownstone apt,150,Entire home/apt,25 reviews,"Clinton Hill, Brooklyn"
Room in beautiful friendly house,55,Private room,12 reviews,"Bushwick, Brooklyn"
Large  Loft Style  Studio  Space,100,Entire home/apt,66 reviews,"Bedford-Stuyvesant, Brooklyn"
SUNNY ROOM A- 15 MINUTES >MANHATTAN,78,Private room,18 reviews,"Bushwick, Brooklyn"
MASSIVE SUITE + PRIVATE BATHROOM!!!,105,Private room,16 reviews,"Bushwick, Brooklyn"
"Big 2 bdrm in DUMBO, Brooklyn, NY",195,Entire home/apt,29 reviews,"DUMBO, Brooklyn"
WILLIAMSBURG SUNNY ROOM ON GRAHAM,125,Private room,6 reviews,"Williamsburg, Brooklyn"
Beautiful Spot on Manhattan Ave.,59,Private room,12 reviews,"Greenpoint, Brooklyn"
Entire Apartment (~700 sq feet),130,Entire home/apt,7 reviews,"Williamsburg, Brooklyn"
Spacious Heart of Ft. Greene Studio,100,Entire home/apt,32 reviews,"Fort Greene, Brooklyn"
Clean Private Room (in Brooklyn),62,Private room,77 reviews,"Greenpoint, Brooklyn"
Experience NYC For $26 Per Night!,26,Shared room,52 reviews,"Bedford-Stuyvesant, Brooklyn"
Charming Studio in Carroll Gardens,100,Entire home/apt,5 reviews,"Carroll Gardens, Brooklyn"
spacious studio apartment,95,Entire home/apt,113 reviews,"Greenpoint, Brooklyn"
Spacious Brooklyn private bed/bath,120,Private room,95 reviews,"Boerum Hill, Brooklyn"
Park Slope Sublet (Weekends only!),60,Private room,3 reviews,"Park Slope, Brooklyn"
Bright Bedroom on Bedford Stop,80,Private room,3 reviews,"Williamsburg, Brooklyn"
Northside Williamsburg Brooklyn,77,Private room,1 review,"Williamsburg, Brooklyn"
Queen Bed with Private Bathroom,69,Private room,5 reviews,"Fort Greene, Brooklyn"
Spacious garden appartment brooklyn,120,Entire home/apt,58 reviews,"Prospect Heights, Brooklyn"
Gorgeous room in Williamsburg loft,90,Private room,5 reviews,"Williamsburg, Brooklyn"
Charming brownstone apartment in BK,100,Entire home/apt,O reviews,"Cobble Hill, Brooklyn"
private room/bath in williamsburg,100,Private room,O reviews,"Williamsburg, Brooklyn"
Historic House in Williamsburg,99,Private room,76 reviews,"Williamsburg, Brooklyn"
***Huge Room in Bright Open Loft***,110,Private room,31 reviews,"Williamsburg, Brooklyn"
C King Bed Awesome Luxury Apt,100,Private room,24 reviews,"Williamsburg, Brooklyn"
Big Private Apt Williamsburg NY,50,Private room,106 reviews,"Williamsburg, Brooklyn"
"Cozy, sunny bedroom in Brooklyn",40,Private room,4 reviews,"Bedford-Stuyvesant, Brooklyn"
"Sun drenched home, corner of park",54,Private room,5 reviews,"Fort Greene, Brooklyn"
KOZY ROOM IN FORT GREENE BROOKLYN..,66,Private room,98 reviews,"Fort Greene, Brooklyn"
Private room off L train,65,Private room,4 reviews,"Williamsburg, Brooklyn"
Best Private Room in Williamsburg!,119,Private room,2 reviews,"Williamsburg, Brooklyn"
Beautiful Brooklyn Abode,60,Private room,O reviews,"Clinton Hill, Brooklyn"
"Stay Day,Week,Month",100,Private room,30 reviews,"Crown Heights, Brooklyn"
Luxury Landmark Converted Stable,600,Entire home/apt,107 reviews,"Clinton Hill, Brooklyn"
Beautiful communal house Bushwick,60,Private room,7 reviews,"Bushwick, Brooklyn"
Quiet apartment in lovely area,100,Entire home/apt,45 reviews,"Boerum Hill, Brooklyn"
Big Room with Bath in Bushwick!,65,Private room,17 reviews,"Bushwick, Brooklyn"
Master Bedroom in Hip Williamsburg,65,Private room,4 reviews,"Williamsburg, Brooklyn"
Private Room A in Lux Loft (3B),100,Private room,26 reviews,"Williamsburg, Brooklyn"
Bright Loft One Stop from Soho,145,Entire home/apt,10 reviews,"Downtown Brooklyn, Brooklyn"
Peaceful Parlor Floor Apartment,120,Entire home/apt,7 reviews,"Clinton Hill, Brooklyn"
SUNNY MODERN LOFT 2 ON BEDFORD AVE!,100,Private room,29 reviews,"Williamsburg, Brooklyn"
Super Sunny Loft + Manhattan Views,220,Entire home/apt,32 reviews,"Williamsburg, Brooklyn"
Room with En Suite Bathroom & Deck,85,Private room,216 reviews,"Clinton Hill, Brooklyn"
Prime Fort Greene Charmer!,185,Entire home/apt,22 reviews,"Fort Greene, Brooklyn"
SUNNY APARTMENT IN BROOKLYN,150,Entire home/apt,O reviews,"Bedford-Stuyvesant, Brooklyn"
Modern Minimalist Williamsburg Loft,189,Entire home/apt,99 reviews,"Greenpoint, Brooklyn"
"Spacious, sunny Park Slope sublet",180,Entire home/apt,2 reviews,"Park Slope, Brooklyn"
Room in nice apartment,70,Private room,2 reviews,"Williamsburg, Brooklyn"
Experience NYC For $26 Per Night!,26,Shared room,58 reviews,"Bedford-Stuyvesant, Brooklyn"
Sun filled 2BR in BedStuy Townhouse,110,Entire home/apt,44 reviews,"Bedford-Stuyvesant, Brooklyn"
"Sunny, Spacious 1BR apt- city views",210,Entire home/apt,16 reviews,"Williamsburg, Brooklyn"
Large Room in sunny Park Slope,40,Private room,1 review,"Greenwood Heights, Brooklyn"
Hip Luxury Williamsburg Apartment,140,Entire home/apt,14 reviews,"Williamsburg, Brooklyn"
"Bushwick Biodome Loft , Great View!",75,Private room,14 reviews,"Williamsburg, Brooklyn"
Cozy 2 br in sunny Fort Greene apt,100,Private room,12 reviews,"Fort Greene, Brooklyn"
Hip Luxury Apt on Maccarren Park,200,Entire home/apt,O reviews,"Williamsburg, Brooklyn"
"Live as a local, close to Manhattan",80,Private room,11 reviews,"Bedford-Stuyvesant, Brooklyn"
Private Williamsburg 1Br apt,110,Entire home/apt,2 reviews,"Williamsburg, Brooklyn"
Luxury Penthouse with Terrace,350,Entire home/apt,3 reviews,"Williamsburg, Brooklyn"
Large Studio in Crown Heights,84,Entire home/apt,2 reviews,"Crown Heights, Brooklyn"
Natural Light Filled Private Room,40,Private room,O reviews,"Crown Heights, Brooklyn"
HIP ROOM A- 15 MINUTES TO MANHATTAN,70,Private room,21 reviews,"Bushwick, Brooklyn"
Sunny 1 BR in Carroll Gardens,135,Entire home/apt,6 reviews,"Cobble Hill, Brooklyn"
Comfy room L train! Bushwick vibes,55,Private room,O reviews,"Bushwick, Brooklyn"
"Fun, private apartment in Bushwick",99,Entire home/apt,O reviews,"Bushwick, Brooklyn"
Comfy room in Clifton Hill/Bed Stuy,60,Private room,O reviews,"Bedford-Stuyvesant, Brooklyn"
Studio in heart of Cobble Hill,80,Entire home/apt,O reviews,"Boerum Hill, Brooklyn"
Beautiful Apt w/ Rooftop Patio,140,Entire home/apt,3 reviews,"Williamsburg, Brooklyn"
"Brand New, Boutique Brooklyn Condo",150,Entire home/apt,16 reviews,"Fort Greene, Brooklyn"
Northside Williamsburg Brooklyn Sm,55,Private room,1 review,"Williamsburg, Brooklyn"
Entire BIG bright Artist Loft +yard,150,Entire home/apt,57 reviews,"Williamsburg, Brooklyn"
Fabulous Bklyn private bedbathsuite,89,Private room,217 reviews,"Clinton Hill, Brooklyn"
Airy Designer Loft in Williamsburg,240,Entire home/apt,7 reviews,"Williamsburg, Brooklyn"
Private Cozy Bedroom in Brooklyn,47,Private room,76 reviews,"Flatbush, Brooklyn"
Spacious Heart of Ft. Greene Studio,100,Entire home/apt,32 reviews,"Fort Greene, Brooklyn"
A Little Haven in Brooklyn,100,Entire home/apt,5 reviews,"Bedford-Stuyvesant, Brooklyn"
Sunny Central Williamsburg Apt,140,Entire home/apt,11 reviews,"Williamsburg, Brooklyn"
Sweet n' Spectacular PARK SLOPE!!!,54,Private room,81 reviews,"Park Slope, Brooklyn"
Large Room with Private Bathroom,37,Private room,2 reviews,"Clinton Hill, Brooklyn"
Central Williamsburg with Garden,95,Private room,25 reviews,"Williamsburg, Brooklyn"
"Williamsburg Studio, Shared Kitchen",95,Entire home/apt,36 reviews,"Williamsburg, Brooklyn"
Private Skylight Room in BK Duplex,100,Private room,8 reviews,"Williamsburg, Brooklyn"
Charming and Cozy 1 Bedroom,145,Entire home/apt,8 reviews,"Carroll Gardens, Brooklyn"
"Brooklyn Brownstone, Private Room",85,Private room,78 reviews,"Prospect Heights, Brooklyn"
Modern Brooklyn Studio,150,Entire home/apt,5 reviews,"Downtown Brooklyn, Brooklyn"
Large room in great neighborhood,88,Private room,75 reviews,"Williamsburg, Brooklyn"
Beautiful Brooklyn share apartment,65,Shared room,13 reviews,"Bay Ridge, Brooklyn"
Cozy BK home with HUGE private yard,180,Entire home/apt,8 reviews,"Williamsburg, Brooklyn"
"LEGAL PARK SLOPE 4 BR, ROOF TERRACE",500,Entire home/apt,48 reviews,"Park Slope, Brooklyn"
Spacious Loft 5 min to Union Square,120,Private room,25 reviews,"Williamsburg, Brooklyn"
ZEN LOFT 1 - INSTANT BOOK NOW :),80,Private room,10 reviews,"Williamsburg, Brooklyn"
Park Slope Tree Top Quiet Apartment,250,Entire home/apt,24 reviews,"Park Slope, Brooklyn"
It's Always Sunny on Prospect!,74,Private room,18 reviews,"Crown Heights, Brooklyn"
Bright Peaceful 1 bedroom 2 bath,175,Entire home/apt,2 reviews,"Park Slope, Brooklyn"
Master Bedroom in Hip Williamsburg,65,Private room,4 reviews,"Williamsburg, Brooklyn"
Chez Louise sunny BK garden apt.,110,Entire home/apt,1 review,"Bedford-Stuyvesant, Brooklyn"
"Private Room, Big Apt near L train",85,Private room,21 reviews,"Bushwick, Brooklyn"
The Lincoln,250,Entire home/apt,11 reviews,"Crown Heights, Brooklyn"
Sunny Williamsburg Apt w/ Deck,180,Entire home/apt,22 reviews,"Williamsburg, New York"
Cute and cozy Boerum Hill studio,100,Entire home/apt,3 reviews,"Boerum Hill, Brooklyn"
Bargain Private Room #1,79,Private room,27 reviews,"Bushwick, Brooklyn"
Sunny and spacious family apartment,165,Entire home/apt,4 reviews,"Park Slope, Brooklyn"
Renovated Apt. w/ Private Patio/BBQ,100,Entire home/apt,75 reviews,"Crown Heights, Brooklyn"
Cozy Carroll Gardens Brownstone Apt,175,Entire home/apt,49 reviews,"Carroll Gardens, Brooklyn"
BIG 2 Bed/2 Bath in Prime Brooklyn!,200,Entire home/apt,19 reviews,"Cobble Hill, Brooklyn"
Experience NYC For $26 Per Night!,26,Shared room,62 reviews,"Bedford-Stuyvesant, Brooklyn"
Fun Comfy & Cozy apt Near Subway,188,Entire home/apt,14 reviews,"Williamsburg, Brooklyn"
Bedford Stuyvesant Townhouse,150,Entire home/apt,17 reviews,"Bedford-Stuyvesant, Brooklyn"
Large Room in Williamsburg,50,Private room,1 review,"Williamsburg, Brooklyn"
Private Williamsburg 1Br apt,110,Entire home/apt,2 reviews,"Williamsburg, Brooklyn"
1 Blk to Subway + Prospect Park B,50,Private room,33 reviews,"Flatbush, Brooklyn"
Bright Box Factory Loft,50,Private room,51 reviews,"Greenpoint, Brooklyn"
***Huge Room in Bright Open Loft***,110,Private room,31 reviews,"Williamsburg, Brooklyn"
"Private room and bathroom, Bushwick",100,Private room,10 reviews,"Bedford-Stuyvesant, Brooklyn"
"East River Queen, & outdoor deck!",175,Entire home/apt,55 reviews,"Williamsburg, New York"
Living Room Sofa Bed in BROOKLYN,42,Shared room,47 reviews,"Bushwick, Brooklyn"
Design-Focused Brownstone Bedroom,70,Private room,12 reviews,"Clinton Hill, Brooklyn"
"Sunny, well-appointed Brooklyn room",39,Private room,32 reviews,"Bedford-Stuyvesant, Brooklyn"
Prvt Garden Flat 15mins/Manhattan,95,Entire home/apt,35 reviews,"Bedford-Stuyvesant, New York"
Gorgeous Brownstone Suite,109,Private room,30 reviews,"Prospect Heights, Brooklyn"
Private Studio in S. Williamsburg!,100,Entire home/apt,8 reviews,"Williamsburg, Brooklyn"
Beautiful Cozy One Bedroom in Dumbo,150,Entire home/apt,7 reviews,"DUMBO, Brooklyn"
"♡ of Williamsburg,sunny & private",50,Private room,47 reviews,"Williamsburg, Brooklyn"
Luminous 2BR in Park Slope NYC,169,Entire home/apt,12 reviews,"Park Slope, Brooklyn"
Modern Minimalist Williamsburg Loft,189,Entire home/apt,99 reviews,"Greenpoint, Brooklyn"
PROSPECT HEIGHTS LARGE PRIVATE ROOM,42,Private room,3 reviews,"Crown Heights, Brooklyn"
Large B&B Style rooms,60,Private room,45 reviews,"Bedford-Stuyvesant, Brooklyn"
Private Room in Lovely Neighborhood,59,Private room,8 reviews,"Crown Heights, Brooklyn"
Cozy 1 Bedroom in Clinton Hill,120,Entire home/apt,32 reviews,"Clinton Hill, Brooklyn"
Oversized Bright FullyFurnished 1BR,60,Entire home/apt,21 reviews,"Bay Ridge, Brooklyn"
"Clean, Spacious PRIVATE ROOM & BATH",95,Private room,5 reviews,"Williamsburg, Brooklyn"
1 + bedroom  Carroll Gardens,165,Entire home/apt,1 review,"Carroll Gardens, Brooklyn"
Private Room in Williamsburg Loft L,99,Private room,9 reviews,"Williamsburg, Brooklyn"
Modern Bedroom in Williamsburg Loft,89,Private room,39 reviews,"Williamsburg, Brooklyn"
"Sunny Rm, 1 bike, Prospect Park!",40,Private room,41 reviews,"Flatbush, Brooklyn"
C Private Room Luxury Duplex Loft,100,Private room,16 reviews,"Williamsburg, Brooklyn"
The Notorious B.N.B. { Erhart },239,Private room,48 reviews,"Clinton Hill, Brooklyn"
Heart of Williamsburg,69,Private room,4 reviews,"Williamsburg, Brooklyn"
The Notorious B.N.B  { Biggie },459,Entire home/apt,22 reviews,"Clinton Hill, Brooklyn"
*** BEST APT EVER!!-AVAILABLE NOW!,103,Private room,31 reviews,"Williamsburg, Brooklyn"
$95 per night BROOKLYN APARTMENT,95,Entire home/apt,35 reviews,"Crown Heights, Brooklyn"
Authentic Brooklyn Loft,150,Entire home/apt,5 reviews,"Williamsburg, Brooklyn"
Gigantic Private Brooklyn Loft!,229,Entire home/apt,49 reviews,"Greenpoint, Brooklyn"
The Garden Apartment,150,Entire home/apt,6 reviews,"Park Slope, Brooklyn"
bedroom in front  prospect park sw,48,Private room,62 reviews,Brooklyn
2br apt in Williamsburg!,139,Entire home/apt,2 reviews,"Williamsburg, Brooklyn"
Quiet Williamsburg apartment,159,Entire home/apt,54 reviews,"Williamsburg, Brooklyn"
comfy couch in spacious loft,41,Shared room,34 reviews,"Brooklyn Navy Yard, Brooklyn"
Luxury Fort Greene Brooklyn Apt,159,Entire home/apt,3 reviews,"Fort Greene, Brooklyn"
Cute & Cozy Williamsburg 1 Bedroom!,130,Entire home/apt,11 reviews,"Williamsburg, Brooklyn"
Hip/Trendy Brooklyn Loft Apartment.,40,Private room,9 reviews,"Bedford-Stuyvesant, Brooklyn"
Greenpoint Loft,60,Private room,O reviews,"Greenpoint, Brooklyn"
Private Two Room Studio By A Train,65,Entire home/apt,2 reviews,"Bedford-Stuyvesant, Brooklyn"
Brooklyn Bridge Loft Condo!!,245,Entire home/apt,12 reviews,"DUMBO, Brooklyn"
Private Garden Apt • New Renovation,140,Entire home/apt,31 reviews,"Williamsburg, Brooklyn"
Spacious Bedroom Room/Living Space,70,Private room,2 reviews,"Crown Heights, Brooklyn"
Brooklyn Apt. with Private Garden,100,Entire home/apt,21 reviews,"Clinton Hill, Brooklyn"
Private Room in W'burg Penthouse,65,Private room,8 reviews,"Williamsburg, Brooklyn"
Chic & Rustic 1 BD- 1 Stop from NYC,125,Entire home/apt,O reviews,"Williamsburg, Brooklyn"
Dream Loft 10 Min to Manhattan,95,Private room,27 reviews,"Williamsburg, Brooklyn"
"Large, Sunny Room in New Condo",89,Private room,115 reviews,"Clinton Hill, Brooklyn"
Cozy 1 Bedroom in Brooklyn Heights,165,Entire home/apt,O reviews,"Brooklyn Heights, Brooklyn"
HEART OF WILIAMSBURG COZIEST STUDIO,110,Entire home/apt,45 reviews,"Williamsburg, Brooklyn"
$95 Entire Apartment Brooklyn NYC,95,Entire home/apt,13 reviews,"Crown Heights, Brooklyn"
Williamsburg Penthouse For A Cause,100,Private room,125 reviews,"Williamsburg, Brooklyn"
"Luxury Condo 2 Bedroom, 2 Bath",200,Entire home/apt,O reviews,"Fort Greene, Brooklyn"
"Cozy, Light, Park Slope Retreat",125,Entire home/apt,2 reviews,"Park Slope, Brooklyn"
The Institute—Heart of Williamsburg,250,Entire home/apt,110 reviews,"Williamsburg, Brooklyn"
PRIVATE ROOM STEPS FROM L TRAIN,55,Private room,13 reviews,"Williamsburg, Brooklyn"
Beautiful new loft in greenpoint,90,Entire home/apt,15 reviews,"Greenpoint, Brooklyn"
Lovely garden bedroom in Greenpoint,99,Private room,23 reviews,"Greenpoint, Brooklyn"
Studio in Brownstone - Brooklyn 3F,119,Entire home/apt,49 reviews,"Clinton Hill, Brooklyn"
Beautiful Bright Williamsburg Apt.,175,Entire home/apt,1 review,"Williamsburg, Brooklyn"
Beautiful room attached to bathroom,78,Private room,37 reviews,"Greenpoint, Brooklyn"
Bright Brooklyn garden apartment!,110,Entire home/apt,36 reviews,"Bedford-Stuyvesant, Brooklyn"
Mid-Century Modern in Brownstone!,135,Private room,15 reviews,"Park Slope, Brooklyn"
NICE ROOM #1 ~ AWESOME LOCATION!!,139,Private room,32 reviews,"Williamsburg, Brooklyn"
COMFY ROOM #3 ~ AMAZING LOCATION!,79,Private room,75 reviews,"Williamsburg, Brooklyn"
Fort Greene Brooklyn Studio Apt,140,Entire home/apt,2 reviews,"Fort Greene, Brooklyn"
Gorgeous house Room 2 BEST location,92,Private room,86 reviews,"Park Slope, Brooklyn"
Lofted room available Bushwick,45,Private room,O reviews,"Bushwick, Brooklyn"
Cozy 2 Bedroom 20 Min from City,135,Entire home/apt,69 reviews,"Bedford-Stuyvesant, Brooklyn"
Lovely 1 BR in Historic Brownstone,110,Entire home/apt,21 reviews,"Bedford-Stuyvesant, Brooklyn"
Prospect Heights Pied-a-terre,119,Entire home/apt,4 reviews,"Crown Heights, Brooklyn"
Beautiful Private Room by the park,68,Private room,10 reviews,"Williamsburg, Brooklyn"
Family Owned & Operated Brownstone,60,Private room,46 reviews,"Bedford-Stuyvesant, Brooklyn"
"Sweet, Serene Brooklyn Apartment",110,Entire home/apt,7 reviews,"Bedford-Stuyvesant, Brooklyn"
"Beautiful Apt, Garden #3 Best Area",135,Entire home/apt,61 reviews,"Park Slope, Brooklyn"
WHOLE Apt 2 Stops from Manhattan!,95,Entire home/apt,2 reviews,"Downtown Brooklyn, Brooklyn"
Spacious corner apartment in DUMBO,189,Entire home/apt,1 review,"DUMBO, Brooklyn"
Floor in Fort Greene brownstone,110,Entire home/apt,7 reviews,"Fort Greene, Brooklyn"
Brooklyn Bedroom 8 Min From City,43,Private room,9 reviews,"Williamsburg, Brooklyn"
Room in Charming Brooklyn Home,100,Private room,27 reviews,"Boerum Hill, Brooklyn"
Williamsburg Garden Apartment,195,Entire home/apt,20 reviews,"Williamsburg, Brooklyn"
Williamsburg/Spacious/Private Bdrm!,65,Private room,2 reviews,"Williamsburg, Brooklyn"
Private Room in Victorian House,75,Private room,22 reviews,"Flatbush, Brooklyn"
"Quaint, beautiful studio Brooklyn",150,Entire home/apt,38 reviews,"Boerum Hill, Brooklyn"
Large room with terrace by subway,70,Private room,48 reviews,"Bedford-Stuyvesant, Brooklyn"
Beautiful & Quiet Williamsburg Apt,100,Entire home/apt,68 reviews,"Williamsburg, Brooklyn"
Lovely LOFT in south Williamsburg,195,Entire home/apt,8 reviews,"Williamsburg, Brooklyn"
PRIVATE SUITE in Williamsburg BK,80,Private room,3 reviews,"Williamsburg, Brooklyn"
Large sunny room across from park,60,Private room,3 reviews,"Bushwick, Brooklyn"
MINUTES FROM EVERYWHERE!,55,Private room,9 reviews,"Bedford-Stuyvesant, Brooklyn"
Beautiful 3 bedroom apartment!!,98,Entire home/apt,51 reviews,"Crown Heights, Brooklyn"
Cozy little room in NYC!,39,Private room,101 reviews,"Crown Heights, Brooklyn"
"Classic Brooklyn, share for women.",55,Private room,27 reviews,"Crown Heights, Brooklyn"
Best location in Brooklyn!,110,Private room,22 reviews,"Park Slope, Brooklyn"
Cozy East Williamsburg 1 BR/1 BA,135,Entire home/apt,4 reviews,"Williamsburg, Brooklyn"
Modern Apartment - Private Bed/Bath,139,Private room,6 reviews,"Williamsburg, Brooklyn"
Prime Carroll Gardens 1BR Apartment,185,Entire home/apt,23 reviews,"Gowanus, Brooklyn"
Small Room,70,Private room,21 reviews,"Park Slope, Brooklyn"
Large Williamsburg Loft Apartment,200,Entire home/apt,37 reviews,"Williamsburg, Brooklyn"
Best Studio on Prospect Park,75,Entire home/apt,79 reviews,"Lefferts Garden, Brooklyn"
Charming Carriage House Suite,156,Entire home/apt,179 reviews,"Williamsburg, Brooklyn"
"Place, home hotel (Single Room).",79,Private room,60 reviews,"Bedford-Stuyvesant, Brooklyn"
