Listings,Price,Room Type,Reviews,Location
1❤️island apt. Best ofWilliamsburg,225,Entire home/apt,O reviews,"Williamsburg, Brooklyn"
Private room in 3bdrm apt,45,Entire home/apt,O reviews,"Bedford-Stuyvesant, Brooklyn"
Large Bedroom Downtown Brooklyn,100,Private room,17 reviews,"Fort Greene, Brooklyn"
"Colorful, quiet, & near the subway!",90,Private room,56 reviews,"Boerum Hill, Brooklyn"
"Sunny room, 1 bike, Prospect Park",40,Private room,45 reviews,"Flatbush, Brooklyn"
Experience NYC For $26 Per Night!,26,Shared room,58 reviews,"Bedford-Stuyvesant, Brooklyn"
Experience NYC For $26 Per Night!,26,Shared room,62 reviews,"Bedford-Stuyvesant, Brooklyn"
"Single room, City in 15! Great spot",50,Private room,15 reviews,"Bedford-Stuyvesant, Brooklyn"
spacious studio apartment,95,Entire home/apt,113 reviews,"Greenpoint, Brooklyn"
Private Rm in Beautiful Brownstone,55,Private room,8 reviews,"Bushwick, Brooklyn"
Rare Historic Gem in Williamsburg,89,Private room,71 reviews,"Williamsburg, Brooklyn"
Loft 15min. to Manhattan,98,Entire home/apt,26 reviews,"Bushwick, Brooklyn"
Cozy Room in Rustic Bushwick Loft,65,Private room,13 reviews,"Bushwick, Brooklyn"
Beautiful new loft in greenpoint,90,Entire home/apt,15 reviews,"Greenpoint, Brooklyn"
B King Bed 2 Awesome Luxury Apt,100,Private room,22 reviews,"Williamsburg, Brooklyn"
"QUIET, QUAINT & BEAUTIFUL LOFT",110,Private room,20 reviews,"Williamsburg, Brooklyn"
Beautiful room attached to bathroom,78,Private room,37 reviews,"Greenpoint, Brooklyn"
Designer 1 Bedroom in Williamsburg,135,Entire home/apt,23 reviews,"Williamsburg, Brooklyn"
Brooklyn Rooftop Loft Event Space!,250,Entire home/apt,47 reviews,"Bedford-Stuyvesant, Brooklyn"
Lofty Townhouse Duplex w/ Roof Deck,169,Entire home/apt,47 reviews,"Park Slope, Brooklyn"
Stunning Greenpoint Penthouse,100,Private room,16 reviews,"Greenpoint, Brooklyn"
"Huge Brooklyn Loft w/Deck, NYC View",75,Private room,30 reviews,"Bedford-Stuyvesant, Brooklyn"
"Cozy, friendly, 3 min from subway!",35,Shared room,20 reviews,"Bedford-Stuyvesant, Brooklyn"
Williamsburg/Greenpoint Bedroom,93,Private room,12 reviews,"Williamsburg, Brooklyn"
NYC gorgeous private room and bath,72,Private room,80 reviews,"Bedford-Stuyvesant, Brooklyn"
New City View Studio - Williamsburg,150,Entire home/apt,26 reviews,"Williamsburg, Brooklyn"
A Breathtaking Brooklyn Experience!,89,Private room,161 reviews,"Fort Greene, Brooklyn"
Park Slope Green Guest House,135,Entire home/apt,223 reviews,"Park Slope, Brooklyn"
Spacious private room in loft,100,Private room,27 reviews,"Greenpoint, Brooklyn"
Rare Williamsburg Penthouse Retreat,105,Private room,31 reviews,"Williamsburg, Brooklyn"
Clinton Hill Perfect Room,70,Private room,112 reviews,"Clinton Hill, Brooklyn"
SUNNY WILLIAMSBURG ARTIST LOFT,189,Entire home/apt,67 reviews,"Williamsburg, Brooklyn"
Williamsburg Spacious Studio,149,Entire home/apt,9 reviews,"Williamsburg, Brooklyn"
Gorgeous studio in Brooklyn Heights,129,Entire home/apt,9 reviews,"Brooklyn Heights, Brooklyn"
One bedroom - Clinton Hill,90,Private room,3 reviews,"Bedford-Stuyvesant, Brooklyn"
The Vernon On Greene,179,Entire home/apt,103 reviews,"Bedford-Stuyvesant, Brooklyn"
Cozy bedroom in BK apt,75,Private room,14 reviews,"Prospect Heights, Brooklyn"
Spacious Private Bedroom & Living,99,Private room,169 reviews,"Park Slope, Brooklyn"
Heart of W-burg Quiet 1 Bedroom,120,Entire home/apt,31 reviews,"Williamsburg, Brooklyn"
"Cozy room, great view of Manhattan",95,Private room,39 reviews,"Clinton Hill, Brooklyn"
Cozy Private Bedroom,70,Private room,O reviews,"Crown Heights, Brooklyn"
Adorable studio in Park Slope!,135,Entire home/apt,12 reviews,"Park Slope, Brooklyn"
Only 1 minute-walk to Park & Metro!,59,Private room,29 reviews,"Lefferts Garden, Brooklyn"
Romantic loft heart of Brooklyn,120,Entire home/apt,1 review,"Bedford-Stuyvesant, Brooklyn"
Bedroom//Hip Neighborhood//Backyard,40,Private room,74 reviews,"Bushwick, Brooklyn"
Lofted Bed in Sunny Room,29,Private room,9 reviews,"Bedford-Stuyvesant, Brooklyn"
"Spacious, modern Apartment",150,Private room,26 reviews,"Williamsburg, Brooklyn"
Crown Heights Rm $700 for Feburary,25,Private room,O reviews,"Crown Heights, Brooklyn"
Stunning and Modern next to Park,99,Entire home/apt,19 reviews,"Prospect Heights, Brooklyn"
Studio Apt. in East Williamsburg,95,Entire home/apt,36 reviews,"Williamsburg, Brooklyn"
Stunning 23 fl bedroom with views,125,Private room,25 reviews,"Downtown Brooklyn, Brooklyn"
Private room in beautiful loft,68,Private room,42 reviews,"Clinton Hill, Brooklyn"
New Listing!  Price reduced.  :),40,Private room,3 reviews,"Williamsburg, Brooklyn"
BUDGET RM+ 1/2BATH-15 MIN MANHATTAN,64,Private room,7 reviews,"Bushwick, Brooklyn"
Great 1 Bedroom Apt Williamsburg!,195,Entire home/apt,23 reviews,"Williamsburg, Brooklyn"
"Delightful,Private,Brooklyn studio",90,Private room,119 reviews,"Bedford-Stuyvesant, Brooklyn"
Bedroom in the heart of Williamburg,95,Private room,11 reviews,"Williamsburg, Brooklyn"
Modern 1 Bedroom Downtown Brooklyn,100,Private room,9 reviews,"Fort Greene, Brooklyn"
Sleepy Room.,49,Private room,O reviews,"Brownsville, Brooklyn"
Private Bedroom in Wooden House,90,Private room,109 reviews,"Williamsburg, Brooklyn"
Calm and Cozy in Brooklyn,36,Private room,7 reviews,"Bedford-Stuyvesant, Brooklyn"
$45 L train/ 1 bedroom Brooklyn,45,Private room,31 reviews,"Bushwick, Brooklyn"
Comfy bed in friendly Homestel #2,32,Shared room,14 reviews,"Bedford-Stuyvesant, Brooklyn"
"Cozy room, overlooking garden",65,Private room,28 reviews,"Bedford-Stuyvesant, Brooklyn"
Your own studio in Bed- Stuy.,50,Entire home/apt,17 reviews,"Bedford-Stuyvesant, Brooklyn"
Spacious Comfy Bedroom in Bed-Stuy,55,Private room,14 reviews,"Bedford-Stuyvesant, Brooklyn"
Beds Bikes Breakfast on The Park,45,Private room,9 reviews,"Flatbush, Brooklyn"
Best Room in Bushwick,45,Private room,19 reviews,"Bushwick, Brooklyn"
Stunning 1500 Sq Ft Designer Loft,225,Entire home/apt,39 reviews,"Williamsburg, Brooklyn"
Spacious Brooklyn private bed/bath,120,Private room,95 reviews,"Boerum Hill, Brooklyn"
NYC Special Occasions Room #1,29,Private room,75 reviews,"Bedford-Stuyvesant, Brooklyn"
Private Room in 4Bed- Williamsburg,50,Private room,3 reviews,"Williamsburg, Brooklyn"
Private Room and Private Bathroom,70,Private room,24 reviews,"Prospect Heights, Brooklyn"
Quirky Duplex - Historic Park Slope,75,Private room,43 reviews,"Park Slope, Brooklyn"
Charming Park Slope Apt W/Garden,165,Entire home/apt,26 reviews,"Park Slope, Brooklyn"
Tiny little private nook!,35,Private room,21 reviews,"Crown Heights, Brooklyn"
Brownstone in Brooklyn,169,Entire home/apt,8 reviews,"Clinton Hill, Brooklyn"
"Cozy, friendly, 3 min from subway!",35,Shared room,20 reviews,"Bedford-Stuyvesant, Brooklyn"
Radical Bushwick Bedroom with W/D,75,Private room,O reviews,"Bushwick, Brooklyn"
Sunny Bedroom in Williamsburg Loft,50,Private room,23 reviews,"Williamsburg, Brooklyn"
Spacious Williamsburg/Bushwick loft,72,Private room,83 reviews,"Bedford-Stuyvesant, Brooklyn"
Spacious Studio 3 - Fort Greene,60,Private room,49 reviews,"Boerum Hill, Brooklyn"
B Luxury Private Room Duplex Loft,100,Private room,18 reviews,"Williamsburg, Brooklyn"
Bright Peaceful 1 bedroom 2 bath,175,Entire home/apt,2 reviews,"Park Slope, Brooklyn"
Cozy Fort in Classic Artist's Loft,60,Private room,154 reviews,"Greenpoint, Brooklyn"
Heart of Wberg Private Room 1E,80,Private room,18 reviews,"Williamsburg, Brooklyn"
Cute lil room in a charming bk apt,85,Private room,11 reviews,"Williamsburg, Brooklyn"
Williamsburg - Great Loft Apartment,40,Private room,47 reviews,"Williamsburg, Brooklyn"
Sunny Central Williamsburg Apt,140,Entire home/apt,11 reviews,"Williamsburg, Brooklyn"
Large sunny room across from park,60,Private room,3 reviews,"Bushwick, Brooklyn"
Room in the heart of Williamsburg,54,Private room,2 reviews,"Williamsburg, Brooklyn"
Fort Greene Magic on Elliott Place,79,Private room,54 reviews,"Fort Greene, New York"
Beautiful Grdn. Apt. in Park Slope,135,Entire home/apt,54 reviews,"Park Slope, Brooklyn"
Lively loft!,49,Private room,70 reviews,"Williamsburg, Brooklyn"
Spacious 1 Bedroom in Fort Greene,139,Entire home/apt,57 reviews,"Fort Greene, Brooklyn"
Comfy & Quiet stay in Greenpoint!,64,Private room,109 reviews,"Greenpoint, Brooklyn"
Williamsburg Penthouse Hideaway,65,Private room,46 reviews,"Williamsburg, Brooklyn"
Cute and colorful Boerum Hill Apt.,85,Private room,17 reviews,"Boerum Hill, Brooklyn"
The Garden Apartment,150,Entire home/apt,6 reviews,"Park Slope, Brooklyn"
Fort Greene Garden Loft Studio,165,Entire home/apt,26 reviews,"Fort Greene, Brooklyn"
Private Rm in Beautiful Brownstone,55,Private room,8 reviews,"Bushwick, Brooklyn"
Big sunny room w/ private entrance,92,Private room,O reviews,"Williamsburg, Brooklyn"
Brooklyn Garden Apartment!,99,Private room,21 reviews,"Boerum Hill, Brooklyn"
"Sunny, Large, Park Slope Bedroom",105,Private room,80 reviews,"Park Slope, Brooklyn"
Private room25 min from time square,35,Private room,3 reviews,"Bushwick, Brooklyn"
"Sun drenched home, corner of park",54,Private room,5 reviews,"Fort Greene, Brooklyn"
1 Bedroom Brownstone Jewel Box,89,Entire home/apt,9 reviews,"Clinton Hill, Brooklyn"
Luxury W-Burg With Private Entrance,140,Entire home/apt,37 reviews,"Williamsburg, Brooklyn"
Only 1 minute-walk to Park & Metro!,59,Private room,29 reviews,"Lefferts Garden, Brooklyn"
Cozy Bedroom in Cute BK Apartment!,65,Private room,18 reviews,"Bedford-Stuyvesant, Brooklyn"
Luxury Private Room in Williamsburg,65,Private room,1 review,"Williamsburg, Brooklyn"
THE PRESIDENT'S SUITE,90,Private room,8 reviews,"Williamsburg, Brooklyn"
Perfect Location / Calm Sanctuary,65,Private room,18 reviews,"Williamsburg, Brooklyn"
BUDGET ROOM- 15 MINUTES >MANHATTAN!,50,Private room,39 reviews,"Bushwick, Brooklyn"
Spacious 1 Bedroom in Fort Greene,139,Entire home/apt,57 reviews,"Fort Greene, Brooklyn"
"Beautiful, large, charming spot",190,Entire home/apt,11 reviews,"Williamsburg, Brooklyn"
Sunny Private Room in Williamsburg,80,Private room,50 reviews,"Williamsburg, Brooklyn"
